"Day","tmpd","linear_pm25","linear_pm10","o3median","death"
1,35,11.517015032,54.32320442,-14.30867741,123
2,39,11.517015032,33.872175141,-12.90151751,125
3,41,10.3586816987,0.2541436464,-15.10034407,136
4,35,9.2003483654,-20.8038674,-5.366134032,116
5,36,8.0420150321,3.1132596685,-10.95792154,119
6,38,6.8836816988,0.1519337017,-12.36978637,135
7,43,5.7253483655,-4.809392265,-12.04135759,125
8,42,4.5670150322,1.426754386,-9.713517866,129
9,41,5.43368169886667,-17.89256198,-7.100344072,116
10,39,6.30034836553333,-14.95316804,-1.334854862,108
11,40,7.1670150322,-12.0137741,-12.70612485,113
12,39,8.03368169886667,-12.09917355,-8.608719573,110
13,38,8.90034836553333,-16.1707989,-5.121612612,110
14,44,9.7670150322,7.627862028,-5.879535147,116
15,41,7.89201503216667,-1.363636364,0.6090922629,139
16,45,6.01701503213333,7.6225895317,-10.21516522,135
17,42,4.1420150321,8.6584022039,-2.175417579,114
18,54,2.26701503206667,5.6721763085,-1.977184453,127
19,42,0.392015032033333,-3.385674931,-4.592345281,107
20,41,-1.482984968,-11.25159193,-6.808677406,132
21,35,-0.9663183013,-25.32231405,-7.111431379,120
22,33,-0.4496516346,-15.35261708,-12.85034407,115
23,34,0.0670150321,-26.44077135,-0.938692313,123
24,34,0.5836816988,-18.44628099,2.0337138986,114
25,36,1.1003483655,-22.57300275,0.792392658,110
26,34,1.6170150322,1.1515027322,-8.403314482,91
27,36,1.50034836553333,-4.567493113,3.5664657375,125
28,38,1.38368169886667,-20.58953168,3.3141718111,121
29,26,1.2670150322,-11.61432507,9.192435857,131
30,18,1.15034836553333,-17.5922865,0.4348265433,134
31,18,1.03368169886667,-15.55647383,-3.597139802,123
32,18,0.9170150322,3.3684210526,-6.77320134,104
33,29,2.1670150322,17.253443526,-4.259616327,134
34,28,3.4170150322,-17.83746556,7.1079892609,132
35,27,4.6670150322,-19.88705234,8.3579892609,90
36,30,5.9170150322,-11.88429752,10.232989261,134
37,36,7.1670150322,2.2892561983,-4.898509665,97
38,45,8.4170150322,3.7627118644,-15.6712807,115
39,37,6.6753483655,-29.56198347,-0.458887415,128
40,35,4.9336816988,-27.4214876,17.671225732,102
41,37,3.1920150321,-30.44628099,16.482989261,116
42,36,1.4503483654,-24.56473829,7.5231640879,89
43,38,-0.2913183013,4.4269972452,-4.681840503,119
44,40,-2.032984968,-0.924863388,-5.223484191,138
45,51,-2.09131830133333,4.4490358127,-2.913924186,124
46,68,-2.14965163466667,61.404958678,11.397657312,126
47,67,-2.207984968,66.26446281,11.691317959,120
48,57,-2.26631830133333,-17.92011019,7.5394565397,128
49,62,-2.32465163466667,8.0661157025,1.3901022137,107
50,73,-2.382984968,-3.016666667,2.472242155,106
51,59,-4.671858745,-5.939393939,0.2214463173,114
52,44,-6.960732522,-18.00550964,-1.187648719,89
53,44,-9.249606299,-21.00826446,-7.234485924,95
54,41,-11.3496063,-20.85674931,-3.567342815,102
55,41,-16.2496063,-28.63360882,7.7715162135,113
56,41,-11.58298497,-17.87966102,-1.742342815,101
57,48,-3.449606299,-2.515151515,-5.48242218,105
58,52,9.2503937008,15.67768595,-0.975141297,100
59,48,4.3503937008,-13.1322314,-14.18578159,103
60,43,-4.049606299,-22.95867769,4.4713878386,107
61,46,-6.449606299,-16.94490358,2.5857398575,109
62,50,-1.032984968,-1.524590164,0.7526306502,91
63,64,0.5378596992,6.9834710744,21.901477623,115
64,62,2.1087043664,15.958677686,10.788776072,111
65,58,3.6795490336,-10.04958678,-0.92044177,111
66,53,5.2503937008,13.928374656,-8.027857736,112
67,42,-9.849606299,-24.04132231,-11.17210145,102
68,45,-6.432984968,-13.14267852,-2.699935416,111
69,50,-2.249606299,7.9090909091,-2.770443463,113
70,52,1.6503937008,-5.983471074,7.2694908083,99
71,52,1.36704903365,12.027548209,1.4074242658,100
72,50,1.0837043665,-5.005509642,8.1988164086,99
73,53,0.80035969935,-9.994490358,7.658831267,95
74,56,0.5170150322,9.6232758621,-2.044706773,104
75,62,-1.549606299,15.005509642,3.3758678467,99
76,56,4.8503937008,6.9476584022,9.7803037492,113
77,48,0.0503937008,-8.115702479,5.7404205607,103
78,45,-9.849606299,-23.33884298,8.6621218629,92
79,46,-0.149606299,-5.545454545,1.2842452871,92
80,54,11.467015032,18.525423729,-6.298075737,102
81,55,21.050393701,3.5592286501,-11.26014724,107
82,59,17.050393701,-7.399449036,-10.07712543,108
83,57,14.950393701,7.7079889807,-0.678454888,99
84,53,0.9503937008,-14.27272727,1.9891757148,93
85,60,0.5503937008,-5.283746556,0.49827843,119
86,62,10.017015032,10.345903955,-2.112968615,115
87,68,5.5503937008,5.7685950413,1.1899764962,99
88,57,13.750393701,0.7878787879,0.3574295667,80
89,62,-1.449606299,-14.22865014,16.046078564,92
90,58,-10.4496063,-20.26721763,5.2531287334,110
91,58,-11.7496063,-24.31129477,7.694097312,115
92,61,-6.232984968,-3.766666667,2.4921625426,101
93,63,5.1503937008,23.526170799,12.439664191,107
94,68,-2.749606299,6.4958677686,10.63009484,112
95,68,7.8503937008,18.468319559,10.994077452,117
96,75,38.150393701,76.432506887,15.630679125,117
97,72,-11.0496063,0.391184573,13.818868103,85
98,68,-7.382984968,0.3221264368,4.783896462,120
99,76,-5.149606299,67.32231405,13.840883388,112
100,79,7.5503937008,57.380165289,12.856330857,137
101,65,-6.149606299,11.355371901,-0.192690441,88
102,64,-12.6496063,-0.597796143,6.2694908083,101
103,57,-9.349606299,-5.47107438,-0.163537933,93
104,61,-7.882984968,0.5902542373,10.894490808,100
105,61,1.0503937008,-6.58953168,11.50385514,86
106,62,-6.749606299,-17.66115702,14.7947954,87
107,63,9.3503937008,4.3195592287,1.9614620667,93
108,67,11.150393701,35.330578512,15.008554446,106
109,75,7.2503937008,48.369146006,11.527430645,98
110,74,-5.682984968,-4.434745763,6.221222499,114
111,73,0.5503937008,26.225895317,10.774655928,128
112,70,-7.949606299,0.1983471074,16.772997524,118
113,63,-8.349606299,-5.867768595,3.8163225943,100
114,63,-10.5496063,3.9614325069,3.4621884735,103
115,55,-11.2496063,-11.06060606,-8.369821212,83
116,56,-11.13298497,-8.526315789,2.117497629,109
117,50,-8.949606299,-23.22589532,-2.079478193,97
118,54,-6.549606299,-17.26997245,-12.99243328,107
119,58,-9.949606299,-23.26446281,0.2841642956,108
120,56,0.6503937008,8.7658402204,-3.893356837,113
121,61,15.450393701,-9.225895317,-5.560912881,109
122,68,9.1670150322,4.2584745763,0.8781287334,102
123,68,4.7503937008,3.7603305785,-2.090835704,100
124,74,-6.649606299,-11.28650138,10.452686231,108
125,69,-2.849606299,-17.31955923,11.626553255,104
126,67,1.6503937008,-5.311294766,7.147997524,92
127,70,1.0503937008,-9.374655647,6.1035730765,93
128,70,-3.882984968,5.2833333333,-7.91725143,101
129,73,1.9503937008,4.7768595041,-0.49614486,99
130,77,3.6503937008,22.862258953,13.951568953,124
131,73,-8.649606299,0.8567493113,7.9396641906,97
132,78,-1.649606299,5.9504132231,10.144490808,104
