"Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125"
3.498,-0.5,0.194,-3.004,-2.5,0.478,-0.936,1.083,-2.026,0.743,-0.978,0.86,0.523,1,0.155,0.352,-3.946,-3.77,-1.338,0.307,2.148,-0.295,-0.174,-2.983,0.527,0.191,-2.81,0.925,1,1.51,-2.638,3.933,-0.919,2.196,1.906,0.201,0.819,-2.597,0.768,-3.446,0.908,2.288,-0.885,1.59,2.5,2.042,0.803,-0.697,0,-0.285,1.929,1.788,-0.108,-0.401,2.027,-2.197,1.648,-0.495,1.837,-1.944,-4.92,3.086,0.567,-0.947,-2.862,-0.96,-3.535,-0.802,0.411,1.684,2.806,1.207,1.118,-1.795,1.909,0,-0.154,0.737,0.602,"C",1.29,-2.316,0,-3.919,-0.768,0,-0.207,-2.602,0.025,0,-3.065,0.342,1.176,"B",-0.393,0,-0.645,1.567,-2.172,-1.244,0,-0.834,-1.336,-0.793,2.209,-2.226,-2.203,1.053,-1.07,0.162,-0.518,-2.496,0.379,0.246,1.276,-1.064,-0.448,1,1.501,"B",0.046,-0.266,-0.823,-1.017,-0.597,0
33.081,-0.3,-2.638,-0.779,1.3,0.42,1.814,2.393,0.14,-1.417,-4.824,-0.983,0.141,0,0.178,2.279,-1.225,1.338,0.491,0.235,-3.231,-2.318,-0.996,-1.152,-0.047,-0.75,4.874,0.682,0,0.293,-3.738,-2.013,-0.748,1.212,2.968,0.294,1.421,-3.222,1.13,-1.369,-0.69,-0.475,-3.361,1.124,-0.6,-0.582,1.427,0.185,0,3.956,0.874,0.21,3.559,5.839,0.582,-3.021,-5.484,-4.487,-0.027,0.443,-1.724,0.085,-2.335,-2.379,-1.034,-2.84,-0.035,-2.26,0.665,1.465,3.47,-0.608,0.076,0.852,2.328,0,0.188,-1.732,0.461,"C",-0.418,-1.432,1,-0.654,-1.875,1,-3.23,-0.093,3.832,1,0.448,1.111,0.052,"B",-0.476,0,3.511,-0.944,0.423,-0.587,0,0.117,1.093,-1.363,-3.199,1.196,-2.112,-4.467,0.862,-2.901,-0.285,0.351,0.931,-2.574,3.894,1.531,-0.161,1,1.872,"D",1.886,-1.061,-0.319,-0.589,-0.383,1
-0.949,-0.6,2.466,1.357,0.8,0.561,-2.613,-0.145,3.477,-1.204,0.861,-0.529,0.201,1,0.319,-0.402,1.478,0.369,2.363,0.211,0.413,0.222,0.603,0.023,0.806,-4.007,-0.845,2.344,0,-0.446,2.231,0.745,1.223,0.694,2.151,0.018,-0.024,1.001,-2.525,0.16,1.259,3.433,0.324,-0.493,1.5,1.478,-1.462,0.64,0,0.808,-2.021,0.075,0.718,-0.015,1.153,0.63,1.842,-0.035,0.758,1.321,1.321,-0.335,2.697,0.683,-1.775,-1.27,0.05,-0.54,0.495,-3.632,1.767,-2.053,1.142,0.422,3.946,0,-1.713,1.894,0.304,"C",2.113,-1.902,0,-0.319,-1.581,1,0.708,4.015,2.764,0,-1.334,-0.494,0.809,"A",-0.313,0,-4.181,0.868,0.178,1.414,0,-2.088,-0.774,-0.613,0.121,-0.543,2.101,0.201,-6.84,4.689,-0.04,3.427,-3.083,0.879,-0.814,-1.913,-3.111,0,0.56,"B",-1.525,-0.495,0.306,1.612,2.309,1
-6.427,-3.3,0.229,-3.598,5.2,0.424,-0.98,1.674,-1.084,0.392,-1.58,0.625,-4.421,0,0.277,3.037,0.711,2.495,-0.73,0.433,0.68,2.245,-2.441,1.966,-0.177,0.133,-1.589,2.142,0,3.384,-1.428,-1.891,0.892,2.246,1.004,-5.366,0.569,1.878,2.502,2.322,-0.473,-2.539,5.434,-2.862,-1.7,-1.303,-0.294,-0.404,0,-3.901,-1.723,-1.21,-5.655,1.935,-1.898,-2.426,2.016,2.948,-2.137,1.622,-0.376,-1.542,-1.478,0.808,-0.856,1.58,-2.1,-2.523,0.747,1.2,0.402,-1.853,-0.004,0.756,0.994,0,-2.508,0.846,0.525,"A",0.044,2.573,0,-2.197,-0.367,0,-1.514,1.054,-1.596,0,0.592,2.644,0.251,"B",-2.086,0,-3.158,-2.879,1.138,-1.411,0,0.074,-2.012,1.548,-3.488,-0.729,-0.038,-0.888,1.55,-1.04,0.78,-0.256,1.92,1.247,-2.379,-0.251,0.395,0,-2.462,"C",-1.813,0.327,0.83,-3.292,-1.838,0
31.873,-1.5,1.121,2.472,2.2,0.553,0.81,1.166,-0.971,0.2,0.482,-0.923,0.047,0,0.251,-2.564,-1.341,-1.568,0.515,0.4,-4.243,0.667,-3.141,-0.868,-1.797,2.342,0.48,1.819,1,1.486,2.015,0.551,-2.407,1.587,-1.032,1.735,-3.04,-3.492,0.909,0.875,-0.84,-0.392,0.258,0.676,0.2,0.847,-4.423,2.713,1,-0.514,0.861,-2.074,1.397,1.727,-2.278,-2.538,-1.882,-0.726,0.995,-4.177,2.499,-1.506,-4.095,-4.164,-1.371,2.71,0.256,-0.661,0.822,-2.894,3.944,1.642,2.771,-0.132,0.084,0,1.796,2.895,0.341,"C",3.317,-0.101,0,0.736,1.239,0,2.861,3.292,-1.586,1,0.47,1.693,-0.422,"C",-4.36,1,2.392,-1.14,-0.257,-0.313,0,-1.122,0.707,0.07,-1.472,-0.877,-3.46,4.815,-2.223,-1.5,-0.359,1.782,-0.694,1.407,0.487,-1.004,0.021,0,2.74,"B",3.021,-0.814,-2.882,-3.559,1.377,0
21.161,-3.2,2.257,0.368,-0.7,0.425,0.347,-0.601,-0.806,-0.41,-2.825,0.133,-0.505,1,0.357,0.702,0.008,1.582,2.013,0.577,-1.209,0.485,-1.797,1.166,0.067,1.372,-0.977,-2.634,1,1.886,2.499,-2.854,3.132,5.59,-2.431,1.117,1.48,2.31,2.621,1.715,0.846,4.183,2.179,0.998,2,-1.338,1.144,-1.728,0,0.689,-2.824,0.02,-1.4,1.321,-0.03,4.486,3.649,-1.762,-0.051,1.062,-2.136,-3.291,-1.51,-1.914,-0.942,-4.34,-0.552,-0.947,0.885,-2.052,-0.314,2.154,3.49,-1.454,-0.82,1,-0.299,-2.651,0.464,"B",1.746,0.432,1,-0.015,-0.581,1,3.284,0.209,0.971,0,2.054,0.619,-1.556,"B",2.412,1,0.196,-4.343,0.163,0.467,1,-2.747,0.596,-0.068,-1.144,-1.047,-2.31,-1.779,0.969,4.098,-1.115,-2.127,0.693,-2.03,2.234,-2.238,2.53,0,0.659,"B",2.899,-3.932,0.484,-3.206,2.856,0
15.659,1.1,-1.288,2.165,1.3,0.571,2.147,-1.022,0.218,-3.693,1.667,-1.019,1.575,1,0.377,2.318,-1.895,0.706,-2.029,0.467,2.307,1.461,-0.144,-0.27,6.919,2.528,0.485,1.795,1,-1.222,2.529,-3.372,-1.089,-0.342,3.458,-1.191,-0.799,0.869,-1.789,-3.251,-2.301,1.413,2.47,0.342,2.9,-1.766,0.749,-2.848,0,0.252,-1.313,1.186,-0.474,4.58,3.52,-0.515,2.93,3.164,-1.359,1.072,2.162,0.683,0.351,0.867,0.369,-0.08,1.741,0.213,0.393,2.601,0.228,-1.601,0.576,3.74,-2.353,0,2.914,-1.084,0.518,"A",1.531,5.546,1,-2.855,-0.958,0,0.126,-0.341,2.192,0,3.421,0.829,0.193,"B",1.525,1,-0.461,0.098,-1.08,2.306,0,0.65,-2.121,1.608,-1.14,1.141,-2.815,3.195,-0.574,2.167,0.128,0.819,-0.215,-3.232,-0.76,-6.077,1.435,0,-0.376,"B",1.117,-2.257,1.137,2.103,-0.203,0
9.126,-0.1,-0.967,1.859,-1.7,0.507,-1.54,0.103,-0.2,-3.679,0.987,-1.802,-3.447,0,0.297,-0.14,-1.667,-0.878,-2.915,0.353,-1.277,-1.321,1.108,3.744,3.02,0.227,-0.533,-2.834,0,-2.167,-0.801,-2.084,3.74,4.09,-0.55,2.357,0.897,-1.337,0.729,-0.469,2.023,2.575,0.478,-2.527,-0.4,-1.176,-3.789,-0.237,0,-0.931,0.563,3.923,1.104,0.825,1.272,-1.272,-1.81,0.699,0.692,2.276,-0.318,0.979,2.537,2.46,1.034,2.26,1.429,0.222,0.971,0.592,1.347,3.212,-0.997,-1.061,3.114,0,3.838,0.582,0.326,"B",-2.134,0.402,0,-2.638,0.108,1,-1.197,-1.971,2.24,1,1.068,0.914,-3.729,"B",1.396,0,-1.486,3.006,-1.31,-2.312,0,-2.451,2.934,-0.011,-0.341,-7.323,-2.287,-2.431,1.954,0.477,1.22,2.461,4.086,1.837,0.337,-0.265,-0.463,1,-0.639,"B",0.677,-1.354,-0.573,-0.371,-1.86,0
21.603,2.6,1.228,-0.762,-0.5,0.519,0.431,-1.069,2.435,-1.144,-2.121,-0.427,1.543,1,0.236,-1.189,-2.161,1.05,0.404,0.324,-0.011,1.874,2.949,0.54,-0.413,2.395,-0.426,-4.024,1,-2.661,-0.826,1.87,-2.338,1.689,4.782,1.172,-0.445,-1.239,-1.639,-2.065,1.167,-0.906,1.025,0.969,-0.2,3.578,0.839,-0.164,0,0.891,-2.132,-3.35,1.892,-2.004,-0.924,1.397,-0.733,-1.462,1.957,-1.075,1.506,-3.939,-2.795,-0.504,-0.481,1.74,0.605,-0.212,0.985,1.593,3.465,3.23,2.653,2.063,-0.439,0,0.534,-0.104,0.356,"B",0.546,-1.677,0,2.297,0.06,0,2.527,-3.188,0.519,0,-1.605,-3.951,-0.036,"A",-2.244,0,-0.027,2.056,2.238,-0.107,0,0.165,-0.368,-1.069,-0.68,0.863,1.058,-1.165,0.886,-0.366,-1.313,0.589,-1.01,-2.994,1.713,0.395,-1.005,0,-2.124,"B",2.075,-4.147,1.828,1.188,1.394,1
-8.09,0.2,2.504,0.864,0.1,0.573,1.868,-3.429,-2.464,0.925,-2.237,1.211,-3.08,0,0.313,-0.157,0.853,-0.689,-2.283,0.404,-2.447,-3.159,0.836,2.86,0.812,2.865,2.206,0.882,0,2.251,-0.195,0.973,-1.697,0.755,-3.381,0.805,-1.032,0.142,2.418,-2.282,-2.189,-1.991,-0.569,-1.701,-1.5,2.705,-3.066,-5.161,0,0.561,2.247,-3.848,-1.866,0.111,-1.353,-0.108,3.371,1.56,-0.901,1.981,-0.356,0.18,-1.513,-1.397,2.752,-0.54,2.017,0.098,0.424,-2.441,1.154,1.17,0.99,-1.722,-1.919,0,2.954,2.4,0.425,"C",-1.104,1.228,0,-0.688,1.093,0,-2.786,-2.628,-3.533,0,0.323,-0.765,-2.074,"A",-1.308,0,-1.224,-0.814,0.394,-0.574,1,-2.162,-1.312,2.685,0.896,2.731,-0.592,-0.616,0.403,1.09,1.745,-0.032,1.925,-2.235,0.173,-2.169,-4.142,1,0.014,"B",-0.55,-0.523,-2.183,0.873,1.408,0
